State Code,County Code,Latitude,Longitude,Date Local,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,AQI
17,163,38.612034,-90.160477,2000-01-04,NA,NA,Illinois,Saint Clair,East Saint Louis,Parts per billion,17.005465798474944,NA,NA,NA,NA,22
29,165,39.300033,-94.700244,2000-01-01,NA,NA,Missouri,Platte,Kansas City,Parts per billion,8.805807920765027,NA,NA,Parts per billion,2.89651175,22.666666666666668
48,167,29.263319,-94.856568,2000-01-01,NA,NA,Texas,Galveston,Galveston,Parts per billion,4.182569005617977,NA,NA,NA,NA,46.333333333333336
29,183,38.872546,-90.22648799999999,2000-01-01,NA,NA,Missouri,Saint Charles,West Alton,Parts per billion,7.647130500701262,NA,NA,Parts per billion,2.5428396942446043,22
29,186,37.900839999999995,-90.42388,2000-04-01,NA,NA,Missouri,Sainte Genevieve,Not in a city,Parts per billion,3.444056357142857,NA,NA,NA,NA,19.5
20,191,37.47689,-97.366399,2000-06-01,NA,NA,Kansas,Sumner,Not in a city,Parts per billion,4.99524518556701,NA,NA,NA,NA,17.333333333333332
17,197,41.221537,-88.190967,2000-01-04,NA,NA,Illinois,Will,Braidwood,Parts per billion,9.223019715492958,NA,NA,NA,NA,14.666666666666666
48,201,29.901035999999998,-95.326137,2000-01-01,NA,NA,Texas,Harris,Houston,Parts per billion,14.946659345626975,NA,NA,NA,NA,28
13,223,33.9285,-85.04534,2000-01-01,NA,NA,Georgia,Paulding,Not in a city,Parts per billion,5.095424216138328,NA,NA,NA,NA,23.5
21,227,37.035438,-86.25062799999999,2000-01-01,NA,NA,Kentucky,Warren,Oakland,Parts per billion,10.154560028653295,NA,NA,NA,NA,31.5
48,245,30.036421999999998,-94.071061,2000-01-01,NA,NA,Texas,Jefferson,Beaumont,Parts per billion,6.591963496285289,NA,NA,Parts per billion,4.645998128545288,14.333333333333334
13,247,33.588544999999996,-84.069608,2000-01-01,NA,NA,Georgia,Rockdale,Conyers,Parts per billion,7.637844866295264,NA,NA,NA,NA,4.5
48,257,32.564968,-96.31768699999999,2000-10-02,NA,NA,Texas,Kaufman,Kaufman,Parts per billion,7.524793252747252,NA,NA,NA,NA,12.666666666666666
48,315,32.742919,-94.303524,2000-01-01,NA,NA,Texas,Marion,Jefferson,Parts per billion,4.693076463276836,Parts per million,0.03211763636363636,NA,NA,52.5
48,339,30.353889,-95.421667,2000-01-01,NA,NA,Texas,Montgomery,Conroe,Parts per billion,5.979210533149171,Parts per million,0.031103136612021857,NA,NA,34.5
48,361,30.085262999999998,-93.761341,2000-01-01,NA,NA,Texas,Orange,West Orange,Parts per billion,8.230762636619717,Parts per million,0.026741054698457223,NA,NA,32.5
48,423,32.358204,-95.409955,2000-01-01,NA,NA,Texas,Smith,Tyler,Parts per billion,5.568904837535014,Parts per million,0.03681596657381615,NA,NA,59.5
48,453,30.483162999999998,-97.875084,2000-01-01,NA,NA,Texas,Travis,Leander,Parts per billion,4.763242982954545,NA,NA,NA,NA,28.5
51,710,36.850426,-76.25744,2000-01-01,NA,NA,Virginia,Norfolk City,Norfolk,Parts per billion,15.653261622950819,NA,NA,Parts per billion,6.802885282786885,20
51,760,37.5626,-77.465,2000-01-01,NA,NA,Virginia,Richmond City,Richmond,Parts per billion,17.384389946175638,NA,NA,Parts per billion,4.513185702185792,31.5
01,003,30.497477999999997,-87.880258,2000-02-29,NA,NA,Alabama,Baldwin,Fairhope,NA,NA,Parts per million,0.031381374465636304,NA,NA,26.333333333333332
CC,004,44.874773999999995,-66.95618999999999,2000-03-31,NA,NA,Canada,New Brunswick,Not in a city,NA,NA,Parts per million,0.029418853260869564,NA,NA,22
04,005,36.05864,-112.1836,2000-01-01,NA,NA,Arizona,Coconino,Grand Canyon Village,NA,NA,Parts per million,0.03095972085503862,NA,NA,39
80,006,31.689722,-106.4597,2000-02-01,NA,NA,Country Of Mexico,CHIHUAHUA STATE,Ciudad-Juarez,NA,NA,Parts per million,0.029392852342158857,NA,NA,7
06,011,39.189189999999996,-121.99887,2000-01-01,NA,NA,California,Colusa,Colusa,NA,NA,Parts per million,0.030806425260718424,NA,NA,18.666666666666668
09,015,41.84046,-72.010368,2000-01-01,NA,NA,Connecticut,Windham,Not in a city,NA,NA,Parts per million,0.029909924280666328,NA,NA,17
78,020,18.334398999999998,-64.79597199999999,2000-01-01,NA,NA,Virgin Islands,St John,Not in a city,NA,NA,Parts per million,0.02459695856353591,NA,NA,32
