Category,State/Union Territory,Number of Factories - 2008-09,Number of Factories - 2009-10,Number of Factories - 2010-11,Number of Factories - 2011-12,Number of Factories - 2012-13,Number of Factories - 2013-14,Number of Factories - 2014-15,Fixed Capital - 2008-09,Fixed Capital - 2009-10,Fixed Capital - 2010-11,Fixed Capital - 2011-12,Fixed Capital - 2012-13,Fixed Capital - 2013-14,Fixed Capital - 2014-15,Working Capital - 2008-09,Working Capital - 2009-10,Working Capital - 2010-11,Working Capital - 2011-12,Working Capital - 2012-13,Working Capital - 2013-14,Working Capital - 2014-15,Productive Capital - 2008-09,Productive Capital - 2009-10,Productive Capital - 2010-11,Productive Capital - 2011-12,Productive Capital - 2012-13,Productive Capital - 2013-14,Productive Capital - 2014-15,Invested Capital - 2008-09,Invested Capital - 2009-10,Invested Capital - 2010-11,Invested Capital - 2011-12,Invested Capital - 2012-13,Invested Capital - 2013-14,Invested Capital - 2014-15,Number of Workers - 2008-09,Number of Workers - 2009-10,Number of Workers - 2010-11,Number of Workers - 2011-12,Number of Workers - 2012-13,Number of Workers - 2013-14,Number of Workers - 2014-15,Total Persons Engaged - 2008-09,Total Persons Engaged - 2009-10,Total Persons Engaged - 2010-11,Total Persons Engaged - 2011-12,Total Persons Engaged - 2012-13,Total Persons Engaged - 2013-14,Total Persons Engaged - 2014-15,Wages to Workers - 2008-09,Wages to Workers - 2009-10,Wages to Workers - 2010-11,Wages to Workers - 2011-12,Wages to Workers - 2012-13,Wages to Workers - 2013-14,Wages to Workers - 2014-15,Total Emoluments - 2008-09,Total Emoluments - 2009-10,Total Emoluments - 2010-11,Total Emoluments - 2011-12,Total Emoluments - 2012-13,Total Emoluments - 2013-14,Total Emoluments - 2014-15,Fuels Consumed - 2008-09,Fuels Consumed - 2009-10,Fuels Consumed - 2010-11,Fuels Consumed - 2011-12,Fuels Consumed - 2012-13,Fuels Consumed - 2013-14,Fuels Consumed - 2014-15,Materials Consumed - 2008-09,Materials Consumed - 2009-10,Materials Consumed - 2010-11,Materials Consumed - 2011-12,Materials Consumed - 2012-13,Materials Consumed - 2013-14,Materials Consumed - 2014-15,Total Inputs - 2008-09,Total Inputs - 2009-10,Total Inputs - 2010-11,Total Inputs - 2011-12,Total Inputs - 2012-13,Total Inputs - 2013-14,Total Inputs - 2014-15,Products and By-products - 2008-09,Products and By-products - 2009-10,Products and By-products - 2010-11,Products and By-products - 2011-12,Products and By-products - 2012-13,Products and By-products - 2013-14,Products and By-products - 2014-15,Total Output - 2008-09,Total Output - 2009-10,Total Output - 2010-11,Total Output - 2011-12,Total Output - 2012-13,Total Output - 2013-14,Total Output - 2014-15,Depreciation - 2008-09,Depreciation - 2009-10,Depreciation - 2010-11,Depreciation - 2011-12,Depreciation - 2012-13,Depreciation - 2013-14,Depreciation - 2014-15,Net Value Added - 2008-09,Net Value Added - 2009-10,Net Value Added - 2010-11,Net Value Added - 2011-12,Net Value Added - 2012-13,Net Value Added - 2013-14,Net Value Added - 2014-15,Rent Paid For Fixed Assets - 2008-09,Rent Paid For Fixed Assets - 2009-10,Rent Paid For Fixed Assets - 2010-11,Rent Paid For Fixed Assets - 2011-12,Rent Paid For Fixed Assets - 2012-13,Rent Paid For Fixed Assets - 2013-14,Rent Paid For Fixed Assets - 2014-15,Interest Paid - 2008-09,Interest Paid - 2009-10,Interest Paid - 2010-11,Interest Paid - 2011-12,Interest Paid - 2012-13,Interest Paid - 2013-14,Interest Paid - 2014-15,Gross Fixed Capital Formation - 2008-09,Gross Fixed Capital Formation - 2009-10,Gross Fixed Capital Formation - 2010-11,Gross Fixed Capital Formation - 2011-12,Gross Fixed Capital Formation - 2012-13,Gross Fixed Capital Formation - 2013-14,Gross Fixed Capital Formation - 2014-15,"Value of Addition In Stock - Materials, Fuels - 2008-09","Value of Addition In Stock - Materials, Fuels - 2009-10","Value of Addition In Stock - Materials, Fuels - 2010-11","Value of Addition In Stock - Materials, Fuels - 2011-12","Value of Addition In Stock - Materials, Fuels - 2012-13","Value of Addition In Stock - Materials, Fuels - 2013-14","Value of Addition In Stock - Materials, Fuels - 2014-15",Value of Addition In Stock - Semi Finished - 2008-09,Value of Addition In Stock - Semi Finished - 2009-10,Value of Addition In Stock - Semi Finished - 2010-11,Value of Addition In Stock - Semi Finished - 2011-12,Value of Addition In Stock - Semi Finished - 2012-13,Value of Addition In Stock - Semi Finished - 2013-14,Value of Addition In Stock - Semi Finished - 2014-15,Value of Addition In Stock - Finished Goods - 2008-09,Value of Addition In Stock - Finished Goods - 2009-10,Value of Addition In Stock - Finished Goods - 2010-11,Value of Addition In Stock - Finished Goods - 2011-12,Value of Addition In Stock - Finished Goods - 2012-13,Value of Addition In Stock - Finished Goods - 2013-14,Value of Addition In Stock - Finished Goods - 2014-15,Value of Addition In Stock - Total - 2008-09,Value of Addition In Stock - Total - 2009-10,Value of Addition In Stock - Total - 2010-11,Value of Addition In Stock - Total - 2011-12,Value of Addition In Stock - Total - 2012-13,Value of Addition In Stock - Total - 2013-14,Value of Addition In Stock - Total - 2014-15
State,Maharashtra,20450,19457,27892,28215,28949,29123,28601,179018,197274,232612,260966,344930,326362,337144,49276,63467,67103,86932,101692,120418,109971,228294,260741,299714,347897,446622,446780,447114,261095,193099,354737,412378,497233,487167,497980,1034201,1062524,1203023,1320995,1233341,1328688,1305350,1491931,1514069,1698122,1880606,1784909,1886025,1883675,9727,10987,14051,17065,17803,20321,22052,25884,28101,35143,43475,46686,53390,60055,20364,22727,26693,33896,34880,43553,38092,349493,378441,484623,622906,637764,630487,643589,472568,489066,616895,826156,819454,837396,880542,505911,546153,686909,850460,890856,915531,940447,600174,624049,785363,1005378,1022032,1065971,1119618,14727,17111,18772,22456,23849,28058,30245,112878,117872,149696,156766,178729,200516,208831,1932,2429,2443,3651,2696,3432,3684,13920,13818,14994,24065,25045,23602,25138,36474,30245,36368,46558,56531,56099,55199,-296,8519,15134,4288,2246,7029,470,1017,2214,4486,3592,-439,1862,1740,-84,4181,9611,7717,4867,1488,4807,638,14914,29230,15598,6674,10379,7017
State,Manipur,72,85,96,102,128,145,160,14,34,51,58,76,98,114,11,32,61,52,47,71,169,25,66,112,111,122,169,283,24,70,141,126,139,169,179,2313,2950,3894,4552,5213,4988,6568,2654,3478,4563,5303,6084,5879,7591,6,10,18,24,28,27,38,8,13,22,29,33,35,47,10,15,23,29,32,36,68,40,107,180,231,227,243,199,54,134,231,297,296,315,296,64,144,252,331,290,332,289,67,152,275,363,349,378,377,1,4,6,7,10,11,11,12,15,38,59,44,52,70,0,1,1,7,0,0,0,1,3,4,6,7,8,9,NA,3,8,5,10,8,12,-1,14,39,5,-3,-1,-2,NA,0,0,0,0,2,1,1,3,8,4,-2,-4,3,NA,17,47,10,-5,-3,3
State,Meghalaya,95,100,94,100,116,108,109,607,1495,2640,2811,3490,3628,3503,755,838,1251,1134,597,1012,962,1362,2333,3892,3945,4087,4639,4465,886,1867,3169,3421,4277,4428,4312,4571,4984,6105,8821,9483,10998,11870,5567,6216,7671,11005,11986,13434,14339,31,36,48,75,94,131,142,53,66,90,138,169,222,233,321,354,455,566,763,814,918,870,1164,1163,1241,1440,1808,1911,1327,1662,2046,2261,2480,2997,3299,1862,2160,2562,2821,3193,3600,3892,1922,2235,2875,3253,3493,3814,4319,71,80,169,183,246,342,393,524,493,660,810,767,475,627,20,14,19,14,19,14,18,39,37,115,192,289,362,406,104,385,397,650,573,263,323,45,74,80,55,85,5,-32,NA,8,69,-22,-25,-6,-29,21,6,48,-7,75,-22,53,65,88,197,27,135,-24,-7
State,Nagaland,91,90,84,86,106,134,197,20,241,131,127,174,179,200,45,135,112,89,155,156,167,65,376,242,216,329,335,367,61,335,234,221,267,277,310,2468,2676,1900,2195,2677,3303,4843,2877,3004,2208,2521,3039,3746,5519,5,5,8,10,11,16,25,7,7,10,13,18,20,32,5,4,6,6,7,9,12,86,134,391,487,486,209,218,98,151,414,503,500,316,320,125,284,464,573,582,293,350,128,289,470,579,590,397,449,1,1,2,8,2,4,7,28,136,54,68,88,76,122,0,1,1,1,1,1,2,2,1,1,2,1,2,3,2,82,1,1,2,5,4,2,10,2,-3,0,-44,2,-2,-8,-1,-2,0,0,0,-1,1,8,-5,1,1,0,-2,2,9,-10,0,-43,2
State,Odisha,1930,2052,2536,2678,2854,2714,2803,54683,92722,121663,160805,163775,210866,229479,3796,12461,5876,9906,6250,11015,-2979,58479,105184,127538,170711,170025,221881,226500,66810,105628,141748,183454,190460,241125,264952,174774,187756,229404,223571,213079,206788,214836,213192,227525,282860,284637,263651,260771,262817,1737,1726,2607,2915,2925,3375,3525,3262,3177,4657,5036,5302,5896,6591,5372,5956,8230,10394,11753,11188,14734,36772,33624,49069,60649,58428,63582,71317,50338,47713,70698,91212,88974,93037,105748,63637,57644,79647,96116,97743,106460,113168,69532,65662,92142,115419,113696,122379,131180,2521,3150,4512,6002,6665,8003,8747,16674,14800,16931,18205,18057,21340,16685,160,181,219,340,106,140,269,2824,2489,3958,6235,7541,9146,13046,13752,24864,25852,30363,28511,27610,8216,1460,857,-5104,2271,3755,2269,3854,313,62,501,806,201,0,-606,781,-21,2572,43,1737,794,1434,2555,898,-2031,3120,5693,3062,4682
State,Punjab,10065,10262,12770,12593,12427,12278,12413,26480,26106,33908,37346,39069,39356,41140,7187,15419,24992,19639,19163,25428,32405,33667,41525,58899,56984,58232,64783,73545,46123,48429,63967,67845,70618,76788,83488,431568,454334,485029,484320,468127,485520,467951,544776,568211,613926,600041,583520,602818,583316,2316,2698,3235,3668,4071,4688,5231,4182,4887,5830,6647,7368,8240,8970,6708,7375,8805,10570,11736,12189,11690,68175,76670,96348,103885,109990,116230,114128,90657,100329,125362,141835,147709,158258,164425,90969,101634,129423,152596,146381,154018,154481,105514,117545,148663,178119,171034,182107,189925,2288,2480,2951,3344,3480,3784,4976,12568,14736,20350,32939,19845,20065,20524,278,277,418,322,287,253,298,3184,2920,3287,4184,4634,5276,6597,5813,4220,8142,7721,6292,6205,4770,615,2611,3656,701,1688,211,902,262,734,1148,827,459,432,40,-1114,649,2465,2638,984,3111,1804,-237,3994,7269,4166,3132,3754,2745
State,Rajasthan,6352,6811,8172,8444,8782,8820,8986,34693,38932,50516,53016,61422,71495,76544,8508,13230,25167,27241,26387,26510,28456,43201,52163,75684,80257,87808,98005,105000,46636,54848,73415,79119,88352,102878,108239,275950,308132,337868,357888,339700,356006,375780,351351,392526,431800,474883,443027,470078,487520,1609,2034,2623,3180,3556,4189,4931,3361,4297,5451,6332,7242,8783,10234,7476,7353,10490,10405,12760,13148,15296,51505,63330,89700,103581,113299,125705,128029,71187,84898,128217,146477,164212,181942,181819,78470,95451,122088,154972,162605,173857,186330,90665,108564,150048,190455,199381,214692,221415,2593,3388,4602,4715,5030,5938,6976,16884,20278,17229,39263,30140,26811,32620,209,353,331,417,433,442,761,2084,2515,3296,3924,4300,5129,5394,10774,6771,9493,12271,12291,11769,10506,724,1853,2378,2216,2676,774,1227,244,468,1040,588,384,696,904,271,750,1365,1278,1256,466,585,1239,3071,4782,4083,4316,1937,2716
State,Sikkim,NA,46,64,61,65,66,67,NA,908,1108,1139,1441,1739,1762,NA,657,1102,440,1280,1689,1495,NA,1565,2210,1579,2720,3428,3257,NA,1289,1649,1729,2341,2706,2725,NA,4854,5235,7138,8052,10227,11100,NA,6484,6844,8906,10278,12749,13675,NA,29,38,51,66,94,116,NA,188,292,320,233,292,374,NA,40,51,78,59,72,88,NA,828,1087,1381,1611,1780,2171,NA,1355,1608,2080,2565,2868,3455,NA,2678,4129,5180,5861,6578,7301,NA,3120,4460,5562,6313,7103,8020,NA,69,74,155,100,123,141,NA,1696,2778,3327,3648,4112,4424,NA,2,3,6,6,8,8,NA,35,31,45,34,31,24,NA,225,135,153,103,104,80,NA,61,102,-3,59,-41,73,NA,22,11,27,0,-6,9,NA,41,57,8,174,84,-95,NA,123,170,32,233,37,-13
State,Tamil Nadu,26122,26790,36848,36996,36869,37378,37878,97788,132896,147965,161452,187242,270816,221316,8985,27145,65767,49631,50706,48367,67133,106772,160041,213732,211083,237949,319184,288449,146993,197519,232564,259680,292260,380534,329168,1456155,1541815,1592571,1595342,1602447,1641460,1741427,1774019,1890149,1943319,1940819,1965020,2046553,2127703,8506,10549,12421,13746,15909,17964,20556,16246,20979,23929,26823,31091,37520,41487,14480,17283,18206,24494,26403,30166,29442,188327,232595,297800,395493,387407,430020,438588,251967,303878,386654,517556,510710,570194,590391,258202,326363,405973,513039,535615,588790,599159,300802,375784,472122,609635,619525,676957,700381,9121,12763,13475,15124,17451,19551,22126,39714,59143,71993,76956,91364,87213,87864,1100,1786,1840,1867,1995,2113,2107,8514,8668,10044,13252,15652,17148,18387,20073,27428,23054,29899,31704,34091,13281,1888,4349,11510,-53325,1900,4320,-1743,1817,1081,2789,2075,1168,154,759,-52,1059,6371,2861,7192,3476,533,3654,6490,20670,-48388,10260,7950,-451
State,Telangana,NA,NA,NA,NA,13656,14110,14427,NA,NA,NA,NA,58473,56944,57393,NA,NA,NA,NA,-31546,38314,27979,NA,NA,NA,NA,26927,95258,85372,NA,NA,NA,NA,90930,90715,87598,NA,NA,NA,NA,585728,629361,585456,NA,NA,NA,NA,701110,747062,692301,NA,NA,NA,NA,5137,5317,5821,NA,NA,NA,NA,10091,10210,10796,NA,NA,NA,NA,10244,9616,8460,NA,NA,NA,NA,81795,89682,92224,NA,NA,NA,NA,122893,136320,125815,NA,NA,NA,NA,127442,134631,136763,NA,NA,NA,NA,156149,171336,159754,NA,NA,NA,NA,5155,4890,5107,NA,NA,NA,NA,28102,30126,28832,NA,NA,NA,NA,475,447,577,NA,NA,NA,NA,3793,4046,3483,NA,NA,NA,NA,7807,6642,6697,NA,NA,NA,NA,1088,1048,900,NA,NA,NA,NA,1170,761,900,NA,NA,NA,NA,582,940,140,NA,NA,NA,NA,2840,2749,1939
State,Tripura,363,407,472,446,534,552,548,418,664,390,351,339,272,324,176,205,233,146,5,193,22,595,870,623,497,344,465,346,563,836,606,508,515,443,499,23643,25756,30458,27304,25793,26524,26256,26089,28401,33327,29933,28526,29121,28871,45,57,77,76,74,80,85,64,80,106,106,105,109,116,69,89,122,126,130,150,147,300,449,626,562,535,539,564,549,763,1035,979,968,966,1012,595,791,1134,931,1057,1042,1221,756,1017,1431,1227,1363,1316,1518,52,29,55,61,47,34,35,155,224,341,187,348,317,472,4,3,8,5,4,4,4,23,20,24,31,26,21,22,210,212,50,28,18,42,45,47,-4,17,1,-3,9,-6,NA,9,4,6,3,2,-5,6,19,25,-14,6,-17,19,54,25,46,-8,6,-7,7
State,Uttarakhand,1907,2344,2739,14090,14440,2936,2987,21898,32657,36141,90647,102711,54793,51042,11203,12461,13627,28596,48737,8220,13174,33102,45118,49768,119244,151448,63013,64216,34693,45420,52573,147119,165874,76329,72122,172861,188895,234079,670748,635759,312131,295217,229727,238795,288261,864346,825537,386654,374861,1793,1480,1964,5598,5944,3415,3550,4546,2894,3725,12737,13632,6511,7184,2086,2456,3848,16070,17676,4993,5462,35042,50921,64841,226543,233468,114988,119319,52949,59610,76705,288060,312123,134858,143371,60352,76720,101495,293871,303997,169113,177769,82924,79322,105838,332655,361329,177254,189849,1542,1993,2785,7451,8093,4532,4862,28433,17719,26348,37144,41113,37864,41616,430,173,188,1120,934,205,204,1300,1225,1769,6619,9383,3213,3097,6736,10408,6694,18123,23938,5552,2865,944,1581,792,3599,3869,1330,-216,2092,793,1097,158,706,-241,-149,466,724,1408,3576,4098,582,208,3502,3097,3298,7332,8673,1671,-157
State,Uttar Pradesh,10935,11015,13756,2843,2911,14463,14867,62677,68697,74856,50669,52998,102436,108968,40131,42458,46996,21256,22560,28673,24529,102808,111154,121852,71924,75558,131110,133498,94232,108205,123469,71440,74470,169446,175273,574874,590788,626446,273464,267268,701782,673431,738644,762599,808666,342385,335300,912206,883331,3591,4020,4824,2487,2830,7963,7797,7980,8778,11214,4886,5560,17370,17947,9380,10308,12952,4087,5086,19428,21879,135222,149615,184084,92256,106457,263530,287659,170968,188546,240889,110253,125826,350442,370042,177821,200685,253487,136043,158105,349278,372898,200463,225681,292216,144748,166279,411268,423098,5356,6158,6945,3850,4155,8954,9309,24139,30977,44381,30644,36299,51871,43747,524,630,775,242,171,1392,1050,4123,4504,5244,2900,2975,10279,9311,10925,8548,12170,10151,6418,14022,14696,434,3089,2518,2197,-200,2436,3730,271,875,1633,133,235,935,-159,-295,2928,4106,2557,1685,423,-411,409,6892,8257,4887,1720,3794,3161
State,West Bengal,6260,6818,8232,8402,8607,8859,9112,41373,59673,59328,71699,82067,80947,86268,18033,12595,23295,21574,20735,23947,22413,59407,72267,82623,93273,102802,104894,108681,61963,84969,93294,109257,122955,123899,132137,449887,466191,513975,534838,537284,522241,504148,549852,571994,635626,654276,656123,645738,632470,3432,3339,4554,5131,5934,6434,6582,5700,5950,8474,8958,9976,10729,11680,6209,7191,8550,10842,12104,12270,12998,94416,94392,128417,156230,162382,175238,185090,122369,134201,180978,207157,220093,248550,238837,120751,125455,163252,193709,201739,214717,225729,141796,157047,206111,233201,247187,276379,263802,2828,3526,4273,5486,4814,5392,6539,16600,19320,20860,20558,22281,22438,18426,301,473,479,712,432,550,505,3009,3573,4069,5304,5078,6408,7140,4862,18176,9165,9266,11159,9342,6960,578,2073,2431,2874,1249,963,817,-75,649,604,608,1337,498,38,234,540,1985,1522,1605,2,474,737,3262,5019,5004,4190,1462,1328
Union Territory,A & N Island,12,13,17,18,24,20,20,56,78,40,39,33,32,23,64,19,-11,-33,-82,-44,-41,119,97,28,6,-49,-12,-18,66,87,50,50,44,45,38,299,319,282,362,398,421,427,362,398,370,438,502,521,520,2,2,2,4,4,5,6,4,4,4,5,6,7,8,1,1,1,1,116,132,128,110,111,133,146,24,21,22,137,210,144,158,156,169,166,126,128,152,168,150,168,166,153,227,163,180,165,184,184,7,8,8,8,8,8,7,8,9,12,13,1,8,11,0,0,0,0,0,0,0,7,8,10,16,12,7,7,4,-2,1,3,0,4,1,1,-1,0,0,0,1,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,2,-1,1,0,-1,1,2
Union Territory,Chandigarh,278,284,308,308,297,285,276,690,595,866,1190,853,1774,826,419,487,717,650,689,909,421,1109,1082,1582,1841,1543,2683,1247,1110,1029,1618,1813,1710,2777,1358,7068,6951,8321,9777,8315,8030,6534,11142,10678,12851,14893,12599,13143,10594,60,65,120,111,97,116,106,157,173,268,257,241,350,314,89,107,77,60,59,138,47,1361,1679,1667,1546,1299,2020,1307,3031,3737,5019,6718,5335,5808,3850,1798,2160,2039,1933,1719,2250,1780,3526,4313,5809,7502,6051,6584,4582,53,57,74,91,67,94,80,442,520,716,693,649,682,652,13,14,16,55,42,13,18,123,113,101,150,133,87,80,153,71,221,152,53,535,151,-23,-15,242,-6,117,-142,-38,3,5,16,-4,1,5,6,-5,2,14,-4,13,-65,8,-25,-8,272,-13,131,-203,-25
Union Territory,Dadra & N Haveli,1151,1103,1457,1480,1413,1405,1411,13073,17217,18709,21067,19695,34102,23866,4595,7406,12619,10729,12319,12262,18776,17668,24624,31328,31796,32013,46364,42643,19760,25816,29433,33182,31069,47555,42405,71327,90722,87003,89668,76279,83397,96987,92557,114188,109671,113512,97422,148522,122371,414,589,670,796,785,946,1240,1028,1352,1438,1751,1697,2008,2625,1875,1807,1884,2575,2150,2746,3333,49470,49995,58830,69247,57987,75042,104299,56047,56570,64245,79359,64638,83721,113429,61840,60975,70564,84056,73477,91124,124016,64965,64574,72915,89008,75978,95960,128897,1134,1382,1518,1876,1667,2018,3056,7785,6623,7152,7773,9672,10222,12411,71,108,81,108,61,77,123,1145,1171,998,2005,1725,2343,4093,3473,4430,4149,3970,3979,5907,1443,-227,967,1206,419,531,148,-1031,-222,580,491,1363,1398,1883,3290,101,374,872,336,421,280,-251,-348,1921,2569,2119,2350,2311,2007
Union Territory,Daman & Diu,1443,1447,1940,1950,1885,1881,1874,4767,6243,6461,7295,9226,10279,9491,6741,7089,2285,9782,6417,9179,8064,11509,13332,8746,17077,15643,19458,17555,8658,11019,12386,13865,16035,17693,14319,69038,85650,84585,80384,97567,89215,78347,88513,108736,112457,103596,128442,109462,97156,350,498,572,714,922,932,911,812,1102,1357,1591,2091,1870,1873,460,638,678,872,888,1275,906,22490,20938,28229,30380,27003,29422,24260,25477,25707,33341,34922,31148,34028,28118,28542,28893,37179,40108,42324,39208,32894,30313,32024,40381,42181,44587,41106,34730,438,628,714,746,952,912,903,4398,5690,6326,6513,12488,6167,5709,169,98,337,342,164,256,116,520,559,699,996,1007,1089,704,1178,1062,1325,1442,1401,1877,1445,-446,469,298,207,381,402,117,-147,53,683,60,-130,254,-271,-28,345,456,93,144,113,325,-621,867,1436,360,395,770,170
Union Territory,Delhi,3026,2878,3920,3849,3958,3918,3868,3129,3867,4469,8873,10607,5726,7138,3287,6040,8216,7608,7749,10656,12234,6416,9907,12686,16482,18356,16382,19372,7408,8616,12127,16972,19500,16671,19704,87552,84408,79036,76890,78510,75273,80766,126816,121161,122193,116221,119001,112180,122852,525,589,704,798,1009,945,1110,1389,1677,2047,2340,2548,2532,3145,680,665,703,724,951,958,1087,15300,17188,25699,21856,27158,31338,31616,23652,28456,42359,38660,44954,50571,54735,20097,22204,32070,27531,34513,38566,39624,27476,32626,48687,45273,53479,59014,63485,344,413,448,491,644,565,795,3480,3578,5879,6122,7881,7878,7955,218,258,359,334,358,328,404,519,570,822,935,1246,1109,1533,603,850,898,1628,1345,904,965,302,257,1209,1656,510,215,1186,22,117,63,-9,286,447,94,70,253,188,-54,17,148,310,393,627,1460,1593,812,809,1589
Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Puducherry,675,671,827,832,911,857,716,3171,2946,2743,3910,5077,4401,5037,2486,2452,4779,-9637,4284,4149,2351,5657,5399,7523,-5727,9362,8551,7388,5382,5087,5727,6869,8450,7668,7870,39356,40389,48708,45173,36945,39751,37052,49254,51219,59258,55472,48527,50108,46961,254,296,399,416,433,419,467,570,684,796,860,879,805,969,539,540,562,726,808,673,979,9697,10271,11627,13536,13476,11019,10599,11260,12228,14334,16338,17297,15579,15620,12874,14206,16599,19321,15938,16984,15382,14558,16370,18208,20482,19753,20073,19090,306,296,283,491,751,421,493,2992,3845,3592,3653,1705,4073,2977,43,62,90,62,92,42,62,267,253,326,281,528,255,263,768,424,367,393,628,539,638,252,121,436,185,-92,488,-55,60,56,0,49,45,57,29,21,44,-11,104,195,-6,-222,333,221,424,338,148,539,-248
