State Code,County Code,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,lat,lon,AQI
29,047,Parts per million,2.268271468367347,Missouri,Clay,Kansas City,NA,NA,NA,NA,NA,NA,39.164203,-94.548017,NaN
36,047,NA,NA,New York,Kings,New York,Parts per billion,17.664521540650405,NA,NA,NA,NA,40.732769999999995,-73.94722,52
21,049,NA,NA,Kentucky,Clark,Winchester,NA,NA,Parts per million,0.02335627972027972,NA,NA,38.004801,-84.16798399999999,16
26,049,NA,NA,Michigan,Genesee,Flint,NA,NA,NA,NA,Parts per billion,8.296040634191176,43.025027,-83.685789,14
28,049,Parts per million,1.4838255879503481,Mississippi,Hinds,Jackson,NA,NA,NA,NA,NA,NA,32.3621045,-90.1517545,42
06,051,Parts per million,2.278630997061704,California,Mono,Mammoth Lakes,NA,NA,NA,NA,NA,NA,37.647712999999996,-118.974301,NaN
13,051,NA,NA,Georgia,Chatham,Savannah,NA,NA,NA,NA,Parts per billion,8.922516691047619,32.054375,-81.123167,6
41,051,NA,NA,Oregon,Multnomah,Portland,Parts per billion,27.65293748013245,NA,NA,NA,NA,45.522583999999995,-122.677859,35
45,051,NA,NA,South Carolina,Horry,Not in a city,NA,NA,Parts per million,0.03353475581395349,NA,NA,33.704339,-78.873082,44
06,053,Parts per million,1.9238872974121282,California,Monterey,Salinas,NA,NA,NA,NA,Parts per billion,5.2387795,36.60505233333333,-121.78041266666666,12.666666666666666
06,055,Parts per million,1.1283163357910906,California,Napa,Napa,Parts per billion,11.626336654465593,Parts per million,0.022127524979524978,Parts per billion,14.767428043897215,38.310942,-122.296189,18.666666666666668
12,057,Parts per million,1.0434396974497682,Florida,Hillsborough,Tampa,NA,NA,Parts per million,0.026540594979647218,NA,NA,27.945669666666664,-82.44870533333332,28
06,059,Parts per million,1.7711606659368158,California,Orange,Anaheim,Parts per billion,27.946408055950265,Parts per million,0.02357804142259414,Parts per billion,8.188758126343902,33.821353,-117.91427,56.666666666666664
06,061,NA,NA,California,Placer,Auburn,NA,NA,Parts per million,0.025168657027818446,NA,NA,38.93767,-121.10492099999999,26
19,061,Parts per million,2.080147800135272,Iowa,Dubuque,Dubuque,NA,NA,NA,NA,NA,NA,42.5088915,-90.6544335,23
36,061,NA,NA,New York,New York,New York,Parts per billion,24.87356895597105,NA,NA,NA,NA,40.739546,-73.985694,43
12,063,NA,NA,Florida,Jackson,Not in a city,NA,NA,NA,NA,Parts per billion,9.032562815169236,30.668249,-84.91019899999999,19
26,063,Parts per million,2.2792250900133157,Michigan,Huron,Not in a city,NA,NA,NA,NA,NA,NA,43.863901999999996,-82.7040995,23.5
06,065,Parts per million,1.4961836410571603,California,Riverside,Banning,NA,NA,Parts per million,0.03683943362621705,NA,NA,33.94405733333333,-117.21699133333334,35.666666666666664
06,067,Parts per million,1.0058388707616708,California,Sacramento,Citrus Heights,Parts per billion,23.129650641771313,Parts per million,0.022784455867433207,Parts per billion,6.218598049699131,38.667125999999996,-121.251338,25.333333333333332
06,069,NA,NA,California,San Benito,Hollister,Parts per billion,13.58952911053316,Parts per million,0.02434608875739645,NA,NA,36.855509999999995,-121.39299,16.5
08,069,Parts per million,1.802828217547001,Colorado,Larimer,Fort Collins,NA,NA,NA,NA,NA,NA,40.566371,-105.075256,NaN
42,069,NA,NA,Pennsylvania,Lackawanna,Scranton,NA,NA,NA,NA,Parts per billion,14.115553860513533,41.442778,-75.62305599999999,47
01,071,NA,NA,Alabama,Jackson,Not in a city,NA,NA,NA,NA,Parts per billion,7.085229360782368,34.856747999999996,-85.73525,69
06,071,Parts per million,1.8076278583287215,California,San Bernardino,Barstow,Parts per billion,34.46593661584634,Parts per million,0.03975284866468842,NA,NA,34.89398,-117.024804,19.5
01,073,Parts per million,1.314173180874722,Alabama,Jefferson,Birmingham,NA,NA,NA,NA,NA,NA,33.503108499999996,-86.858467,27
06,073,NA,NA,California,San Diego,Chula Vista,Parts per billion,24.233026919708028,NA,NA,NA,NA,32.6312365,-117.0590815,61
06,075,Parts per million,1.4874132204819277,California,San Francisco,San Francisco,Parts per billion,28.782276942558745,Parts per million,0.021074604210526315,Parts per billion,1.4596543244274809,37.784,-122.42160000000001,18.666666666666668
01,077,NA,NA,Alabama,Lauderdale,Not in a city,NA,NA,NA,NA,Parts per billion,7.921777758083675,34.786755,-87.78253099999999,14
06,077,Parts per million,1.1040627313064912,California,San Joaquin,Lodi,NA,NA,Parts per million,0.03166720694349898,NA,NA,37.982423,-121.3666145,28
06,079,Parts per million,0.9625647886146497,California,San Luis Obispo,San Luis Obispo,Parts per billion,21.200441046221112,NA,NA,NA,NA,35.36145466666667,-120.62498466666666,13.333333333333334
06,081,Parts per million,1.483850255423373,California,San Mateo,Redwood City,Parts per billion,24.131001001564943,Parts per million,0.02158986372745491,NA,NA,37.482934,-122.20337,33
26,081,NA,NA,Michigan,Kent,Grand Rapids,NA,NA,NA,NA,Parts per billion,16.196042913890636,42.984173,-85.67133899999999,10
06,083,Parts per million,1.038931525,California,Santa Barbara,Santa Barbara,Parts per billion,23.15537010480349,NA,NA,NA,NA,34.466798999999995,-119.8536105,22
06,085,Parts per million,2.0429137192066804,California,Santa Clara,Gilroy,Parts per billion,24.695337993630574,Parts per million,0.02299617717121588,NA,NA,37.001337,-121.514939,22
36,085,NA,NA,New York,Richmond,New York,NA,NA,NA,NA,Parts per billion,13.854111162971003,40.59664,-74.12525,71
12,086,Parts per million,2.271548811550152,Florida,Miami-Dade,Miami,NA,NA,NA,NA,NA,NA,25.832411999999998,-80.282828,12
06,087,NA,NA,California,Santa Cruz,Aptos,Parts per billion,10.255559704883227,Parts per million,0.029794181629834254,NA,NA,36.98995,-121.925792,21
30,087,NA,NA,Montana,Rosebud,Not in a city,NA,NA,NA,NA,Parts per billion,3.9834653667883213,45.87444,-106.587246,0
51,087,Parts per million,1.1172423224299066,Virginia,Henrico,Not in a city,NA,NA,NA,NA,NA,NA,37.590424,-77.502207,NaN
01,089,Parts per million,0.9769152763157894,Alabama,Madison,Huntsville,Parts per billion,21.420694110248448,Parts per million,0.024974466666666667,NA,NA,34.687761,-86.586362,25
12,089,NA,NA,Florida,Nassau,Fernandina Beach,NA,NA,NA,NA,Parts per billion,12.743061686777274,30.658552,-81.463168,29
02,090,Parts per million,2.3824160694444445,Alaska,Fairbanks North Star,Fairbanks,NA,NA,NA,NA,NA,NA,64.840402,-147.72548,NaN
18,091,NA,NA,Indiana,LaPorte,Michigan City,NA,NA,NA,NA,Parts per billion,10.21356305034325,41.701983,-86.92503099999999,124
