State Code,County Code,CO Units,CO Mean,State Name,County Name,City Name,NO2 Units,NO2 Mean,Ozone Units,Ozone Mean,SO2 Units,SO2 Mean,lat,lon,AQI
06,001,Parts per million,0.32125599192259896,California,Alameda,Oakland,NA,NA,NA,NA,NA,NA,37.748457333333334,-122.078833,16.666666666666668
01,003,NA,NA,Alabama,Baldwin,Fairhope,NA,NA,Parts per million,0.03293398322733943,NA,NA,30.497477999999997,-87.880258,22
09,003,Parts per million,0.34373896967270545,Connecticut,Hartford,Hartford,Parts per billion,10.09411974116918,NA,NA,NA,NA,41.778082999999995,-72.655795,12.5
04,005,NA,NA,Arizona,Coconino,Flagstaff,NA,NA,Parts per million,0.03153577805599818,NA,NA,35.206111,-111.652777,36
09,005,Parts per million,0.24623289385091032,Connecticut,Litchfield,Cornwall,Parts per billion,8.173847401997213,NA,NA,Parts per billion,1.1728211438384393,41.821342,-73.297257,2
04,007,NA,NA,Arizona,Gila,Tonto National Monument,NA,NA,Parts per million,0.03475576813204253,NA,NA,33.526917499999996,-110.983148,24.5
06,007,Parts per million,0.2767067595437616,California,Butte,Chico,Parts per billion,8.682762927657352,NA,NA,NA,NA,39.76168,-121.84047,22
06,009,NA,NA,California,Calaveras,San Andreas,NA,NA,Parts per million,0.03237057974760529,NA,NA,38.20185,-120.680277,27
09,009,Parts per million,0.18087052646638055,Connecticut,New Haven,New Haven,Parts per billion,5.0481709280908325,NA,NA,Parts per billion,1.3864414432188907,41.3014,-72.90287099999999,13.5
06,011,NA,NA,California,Colusa,Colusa,NA,NA,Parts per million,0.029438080398556946,NA,NA,39.189189999999996,-121.99887,24
12,011,Parts per million,0.22858870488721805,Florida,Broward,Fort Lauderdale,NA,NA,NA,NA,Parts per billion,0.730808929844413,26.130643999999997,-80.1685195,12
04,012,NA,NA,Arizona,La Paz,Wenden,Parts per billion,1.3580002471590908,Parts per million,0.041102060200668894,Parts per billion,1.0236149231843577,34.243900000000004,-113.5586,12.666666666666666
04,013,Parts per million,0.37780341658551203,Arizona,Maricopa,Phoenix,Parts per billion,9.88784092301038,Parts per million,0.03319261388286334,NA,NA,33.47087499999999,-112.09457499999999,21.666666666666668
08,015,NA,NA,Colorado,Chaffee,Not in a city,NA,NA,Parts per million,0.031925564536606006,NA,NA,38.910000000000004,-106.001,49
22,015,NA,NA,Louisiana,Bossier,Shreveport,NA,NA,NA,NA,Parts per billion,1.0136765257048093,32.536273,-93.74893999999999,1
25,015,NA,NA,Massachusetts,Hampshire,Ware (census name for Ware Center),Parts per billion,3.4567013594444442,NA,NA,NA,NA,42.298493,-72.334079,8
33,015,Parts per million,0.18493614794520546,New Hampshire,Rockingham,Londonderry,NA,NA,NA,NA,NA,NA,42.862531,-71.38014,NaN
04,017,NA,NA,Arizona,Navajo,Not in a city,NA,NA,Parts per million,0.032388008984231755,NA,NA,34.82251,-109.89249,39
12,017,NA,NA,Florida,Citrus,Not in a city,NA,NA,NA,NA,Parts per billion,0.9238237109335996,28.958644,-82.64296499999999,1
34,017,Parts per million,0.37394715753424657,New Jersey,Hudson,Jersey City,NA,NA,NA,NA,NA,NA,40.7009475,-74.0961945,26
04,019,Parts per million,0.2373623474290531,Arizona,Pima,Tucson,Parts per billion,7.879384631535947,NA,NA,NA,NA,32.224699666666666,-110.86582766666668,17.333333333333332
02,020,Parts per million,0.6131777232876712,Alaska,Anchorage,Anchorage,NA,NA,NA,NA,NA,NA,61.205861,-149.824602,NaN
04,021,NA,NA,Arizona,Pinal,Apache Junction,NA,NA,Parts per million,0.031165042210750074,NA,NA,33.4214,-111.54360000000001,24
13,021,NA,NA,Georgia,Bibb,Macon,NA,NA,NA,NA,Parts per billion,0.8984179338871582,32.805264,-83.543493,1
25,021,NA,NA,Massachusetts,Norfolk,Milton,Parts per billion,6.195649216197183,NA,NA,NA,NA,42.211774,-71.11397,10
42,021,Parts per million,0.16311006742857143,Pennsylvania,Cambria,Johnstown,NA,NA,NA,NA,NA,NA,40.309722,-78.915,NaN
06,023,Parts per million,0.26265906890042473,California,Humboldt,Eureka,Parts per billion,4.068176412636506,Parts per million,0.02961436457385502,Parts per billion,0.31585316602720614,40.776779999999995,-124.17949,10
04,025,NA,NA,Arizona,Yavapai,Prescott,NA,NA,Parts per million,0.03208442601749715,NA,NA,34.5467,-112.4761,35
06,025,Parts per million,0.26521843794794414,California,Imperial,Calexico,Parts per billion,9.49176205527795,NA,NA,Parts per billion,0.504232357076994,32.676179999999995,-115.48307,13
04,027,NA,NA,Arizona,Yuma,Yuma,NA,NA,Parts per million,0.033314844432882414,NA,NA,32.690278,-114.61444,31
06,027,NA,NA,California,Inyo,Not in a city,NA,NA,NA,NA,Parts per billion,0.8144415040883074,37.360684,-118.330783,0
24,027,Parts per million,0.25070054799054375,Maryland,Howard,North Laurel,Parts per billion,8.334163033764773,NA,NA,NA,NA,39.14313,-76.84611,30
06,029,Parts per million,0.2619442624686542,California,Kern,Bakersfield,NA,NA,NA,NA,NA,NA,35.338609500000004,-118.925893,16.5
16,029,NA,NA,Idaho,Caribou,Soda Springs,NA,NA,NA,NA,Parts per billion,1.6936118615512927,42.695198,-111.594669,4
06,031,NA,NA,California,Kings,Hanford,Parts per billion,15.175013829111295,NA,NA,NA,NA,36.274472,-119.70482949999999,26
08,031,Parts per million,0.31485099761620977,Colorado,Denver,Denver,NA,NA,NA,NA,Parts per billion,0.6669448012948793,39.751183999999995,-104.987625,3
01,033,NA,NA,Alabama,Colbert,Muscle Shoals,NA,NA,Parts per million,0.029400759363424338,NA,NA,34.762619,-87.638097,19
12,033,NA,NA,Florida,Escambia,Ferry Pass,NA,NA,NA,NA,Parts per billion,1.3491606744359501,30.525367,-87.20354999999999,1
22,033,Parts per million,0.3163534226876091,Louisiana,East Baton Rouge,Baton Rouge,Parts per billion,9.35799577739388,NA,NA,NA,NA,30.461980999999998,-91.17921899999999,6
05,035,NA,NA,Arkansas,Crittenden,Marion,Parts per billion,5.431892456045519,Parts per million,0.034697601634498344,NA,NA,35.197288,-90.193141,22
39,035,Parts per million,0.28793727030965394,Ohio,Cuyahoga,Cleveland,NA,NA,NA,NA,NA,NA,41.490808,-81.686416500000007,3
