State.Code,County.Code,Latitude,Longitude,Date.Local,CO.Units,CO.Mean,State.Name,County.Name,City.Name,NO2.Units,NO2.Mean,Ozone.Units,Ozone.Mean,SO2.Units,SO2.Mean,AQI
39,35,41.477011,-81.682383,2020-01-01,NA,NA,Ohio,Cuyahoga,Cleveland,NA,NA,NA,NA,Parts per billion,0.4198910302863436,18
18,43,38.30703,-85.832974,2020-01-01,NA,NA,Indiana,Floyd,New Albany,NA,NA,NA,NA,Parts per billion,0.7526049207317073,17.5
19,45,41.823282999999996,-90.21198199999999,2020-01-01,NA,NA,Iowa,Clinton,Clinton,NA,NA,NA,NA,Parts per billion,1.419297637254902,12.666666666666666
40,47,36.512363,-97.845959,2020-01-01,NA,NA,Oklahoma,Garfield,Enid,NA,NA,NA,NA,Parts per billion,0.21024438333333334,20
13,51,32.06848,-81.04942,2020-01-01,NA,NA,Georgia,Chatham,Savannah,NA,NA,NA,NA,Parts per billion,1.025474464157706,24.333333333333332
28,59,30.378287,-88.53393,2020-01-01,NA,NA,Mississippi,Jackson,Pascagoula,NA,NA,NA,NA,Parts per billion,0.3250396510989011,14.333333333333334
37,63,36.032955,-78.904037,2020-01-01,NA,NA,North Carolina,Durham,Durham,NA,NA,NA,NA,Parts per billion,0.12650668406593407,13
38,65,47.185832999999995,-101.428056,2020-01-01,NA,NA,North Dakota,Oliver,Not in a city,NA,NA,NA,NA,Parts per billion,1.222917543956044,14
36,67,43.05235,-76.05921,2020-01-01,NA,NA,New York,Onondaga,East Syracuse,NA,NA,NA,NA,Parts per billion,0.2792130224719101,13.666666666666666
40,71,36.697185999999995,-97.08135,2020-01-01,NA,NA,Oklahoma,Kay,Ponca City,NA,NA,NA,NA,Parts per billion,0.42107900595238096,26.666666666666668
36,79,41.45589,-73.70976999999999,2020-01-01,NA,NA,New York,Putnam,Not in a city,NA,NA,NA,NA,Parts per billion,0.13033835279187816,12.666666666666666
12,81,27.638925,-82.547648,2020-01-01,NA,NA,Florida,Manatee,Not in a city,NA,NA,NA,NA,Parts per billion,0.4087296731016731,12.333333333333334
39,85,41.673006,-81.422455,2020-01-01,NA,NA,Ohio,Lake,Eastlake,NA,NA,NA,NA,Parts per billion,0.8929230576923076,16
45,91,34.977000000000004,-81.20700000000001,2020-01-01,NA,NA,South Carolina,York,Not in a city,NA,NA,NA,NA,Parts per billion,0.11928687912087912,17
22,93,30.052636,-90.67001599999999,2020-01-01,NA,NA,Louisiana,St. James,Gramercy,NA,NA,NA,NA,Parts per billion,0.49438802747252747,13.5
39,95,41.66343,-83.47583,2020-01-01,NA,NA,Ohio,Lucas,Toledo,NA,NA,NA,NA,Parts per billion,0.071655475,15.5
1,97,30.770180999999997,-88.087761,2020-01-01,NA,NA,Alabama,Mobile,Chickasaw,NA,NA,NA,NA,Parts per billion,0.4098572017241379,14
17,99,41.293015,-89.049425,2020-01-01,NA,NA,Illinois,La Salle,Oglesby,NA,NA,NA,NA,Parts per billion,0.7359009208333334,19
36,103,40.82799,-73.05754,2020-01-01,NA,NA,New York,Suffolk,Holtsville,NA,NA,NA,NA,Parts per billion,0.03382993956043956,13
12,107,29.687748,-81.656509,2020-01-01,NA,NA,Florida,Putnam,Not in a city,NA,NA,NA,NA,Parts per billion,1.057319771978022,13.5
40,109,35.614131,-97.475083,2020-01-01,NA,NA,Oklahoma,Oklahoma,Oklahoma City,NA,NA,NA,NA,Parts per billion,0.007816006024096385,10.666666666666666
30,111,45.786578999999996,-108.45878,2020-01-01,NA,NA,Montana,Yellowstone,Not in a city,NA,NA,NA,NA,Parts per billion,0.4416697916666667,19.666666666666668
19,113,41.976769999999995,-91.68766,2020-01-01,NA,NA,Iowa,Linn,Cedar Rapids,NA,NA,NA,NA,Parts per billion,0.5098511863354037,20.333333333333332
13,115,34.2434,-85.3259,2020-01-01,NA,NA,Georgia,Floyd,Rome,NA,NA,NA,NA,Parts per billion,0.43667833086419755,20.5
1,117,33.092800000000004,-86.80720000000001,2020-01-01,NA,NA,Alabama,Shelby,Calera,NA,NA,NA,NA,Parts per billion,0.1265068895184136,11
1,119,32.362606,-88.277992,2020-01-01,NA,NA,Alabama,Sumter,Not in a city,NA,NA,NA,NA,Parts per billion,0.49566064521452147,17.666666666666668
13,121,33.720742,-84.357316,2020-01-01,NA,NA,Georgia,Fulton,Atlanta,NA,NA,NA,NA,Parts per billion,0.7878310785123966,18.666666666666668
18,127,41.634104,-87.101452,2020-01-01,NA,NA,Indiana,Porter,Dune Acres,NA,NA,NA,NA,Parts per billion,1.2385861565934067,24
19,139,41.419429,-91.07097499999999,2020-01-01,NA,NA,Iowa,Muscatine,Muscatine,NA,NA,NA,NA,Parts per billion,0.4772520012690355,12.666666666666666
48,141,31.765684999999998,-106.455227,2020-01-01,NA,NA,Texas,El Paso,El Paso,NA,NA,NA,NA,Parts per billion,0.5361704032258064,12.666666666666666
40,143,36.149877,-96.011664,2020-01-01,NA,NA,Oklahoma,Tulsa,Tulsa,NA,NA,NA,NA,Parts per billion,0.07644446857142857,15.333333333333334
37,145,36.49002,-79.058272,2020-01-01,NA,NA,North Carolina,Person,Not in a city,NA,NA,NA,NA,Parts per billion,0.4560384023809524,15.5
39,153,41.063525999999996,-81.46895599999999,2020-01-01,NA,NA,Ohio,Summit,Akron,NA,NA,NA,NA,Parts per billion,0.1118312087912088,13
48,161,31.797812999999998,-96.1031,2020-01-01,NA,NA,Texas,Freestone,Fairfield,NA,NA,NA,NA,Parts per billion,0.11547188333333333,15
17,179,40.55646,-89.654028,2020-01-01,NA,NA,Illinois,Tazewell,Pekin,NA,NA,NA,NA,Parts per billion,0.8732874083333333,3
37,183,35.856111,-78.574167,2020-01-20,NA,NA,North Carolina,Wake,Raleigh,NA,NA,NA,NA,Parts per billion,0.23846759469696968,19.333333333333332
17,185,38.397788999999996,-87.773853,2020-01-01,NA,NA,Illinois,Wabash,Mount Carmel,NA,NA,NA,NA,Parts per billion,0.694833532967033,1
48,203,32.470228,-94.481595,2020-01-01,NA,NA,Texas,Harrison,Hallsville,NA,NA,NA,NA,Parts per billion,1.3467591315789473,14
48,227,32.280422,-101.407137,2020-01-01,NA,NA,Texas,Howard,Big Spring,NA,NA,NA,NA,Parts per billion,4.764594883495145,84
48,233,35.6762,-101.4401,2020-01-01,NA,NA,Texas,Hutchinson,Borger,NA,NA,NA,NA,Parts per billion,1.3287196666666667,0
13,245,33.4339,-82.0224,2020-01-01,NA,NA,Georgia,Richmond,Augusta,NA,NA,NA,NA,Parts per billion,0.2520760588235294,17.333333333333332
48,331,30.569533999999997,-97.07629399999999,2020-01-01,NA,NA,Texas,Milam,Rockdale,NA,NA,NA,NA,Parts per billion,0.09769056451612904,0
48,361,30.153675,-93.72589699999999,2020-01-01,NA,NA,Texas,Orange,Orange,NA,NA,NA,NA,Parts per billion,2.2344048620689656,30.333333333333332
48,375,35.236736,-101.787405,2020-01-01,NA,NA,Texas,Potter,Amarillo,NA,NA,NA,NA,Parts per billion,0.5441647041666666,0
48,395,31.168889,-96.481944,2020-01-01,NA,NA,Texas,Robertson,Franklin,NA,NA,NA,NA,Parts per billion,-0.014315887096774192,0
48,401,32.277929,-94.57085099999999,2020-01-01,NA,NA,Texas,Rusk,Tatum,NA,NA,NA,NA,Parts per billion,1.6430468166666667,20
48,449,33.0752,-94.84740000000001,2020-01-01,NA,NA,Texas,Titus,Not in a city,NA,NA,NA,NA,Parts per billion,0.32417828448275865,0
